,True min,Feature Range
0,-2.41856840569027,10.56183171700925
1,-1.92676672977488,9.72405895653667
2,-3.46975818210224,10.62087373301033
3,-3.2313559337799,11.0849194743958
4,-3.53093587402249,11.21034946916279
5,-3.82108901615005,12.325282742941901
6,-4.21998425488004,12.301904389219771
7,-3.62965654207396,11.871643722180009
8,-3.42118875783054,10.2232487262289
9,-2.28547847322863,8.57914273864774
10,-2.6970747508529,10.92641756334519
11,-1.96638301944836,6.51011671881575
12,-2.53174643920303,11.30717401191701
13,-2.88299172629074,8.58469848095589
14,-2.36273122178037,9.910336728763241
15,-2.0718581732965,8.58835982649504
